Form	Strength	DrugName	ActiveIngredient	
SOLUTION/DROPS;OPHTHALMIC	1%	PAREDRINE	HYDROXYAMPHETAMINE HYDROBROMIDE	
TABLET;ORAL	500MG	SULFAPYRIDINE	SULFAPYRIDINE	
INJECTABLE;INJECTION	"20,000 UNITS/ML"	LIQUAEMIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"40,000 UNITS/ML"	LIQUAEMIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"5,000 UNITS/ML"	LIQUAEMIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"1,000 UNITS/ML"	LIQUAEMIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"10,000 UNITS/ML"	LIQUAEMIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	100 UNITS/ML	LIQUAEMIN LOCK FLUSH	HEPARIN SODIUM	
INJECTABLE;INJECTION	"1,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"5,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"10,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"1,000 UNITS/ML"	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	
INJECTABLE;INJECTION	"5,000 UNITS/ML"	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	
INJECTABLE;INJECTION	"10,000 UNITS/ML"	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	
INJECTABLE;INJECTION	EQ 1MG BASE/ML	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	
INJECTABLE;INJECTION	EQ 0.2MG BASE/ML	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	
INJECTABLE;INJECTION	EQ 0.1MG BASE/ML	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE	
TABLET;ORAL	15MG	BUTISOL SODIUM	BUTABARBITAL SODIUM	
TABLET;ORAL	50MG	BUTISOL SODIUM	BUTABARBITAL SODIUM	
TABLET;ORAL	30MG	BUTISOL SODIUM	BUTABARBITAL SODIUM	
TABLET;ORAL	100MG	BUTISOL SODIUM	BUTABARBITAL SODIUM	
INJECTABLE;INJECTION	5MG/ML	DOCA	DESOXYCORTICOSTERONE ACETATE	
TABLET;ORAL	125MG	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	
